keys,en,pt,zh
SPELL_SHALLOW_GRAVE_DESC,"Activates when health reaches zero, no matter how close to death, cannot die while under its protection","ativa quando vida chegar a zero, não importa quão perto da morte, não pode morrer enquanto estiver sob sua proteção","當生命值為零時被激活，無論多麼接近死亡，在其保護下都不會死亡"
MOVE_SELECT,Move / select,Mover / selecionar,移動/選擇
CANCEL_CLOSE,Cancel / close,Cancelar / fechar,取消/關閉
CANCEL,Cancel,Cancelar,取消
CLOSE,Close,Fechar,關
PLAY,Play,Jogar,玩
MOVE,Move,Mover,移動
SELECT,Select,Selecionar,選擇
KEYBOARD,Keyboard,Teclado,鍵盤
ULTIMATE,Ultimate,Ultimate,終極
UPGRADES,Upgrades,Melhorias,升級
PAUSE,Pause,Pausar,暫停
CONFIRM,Confirm,Confirmar,確認
NEXT_TAB,Next tab,Próxima aba,下一個標籤
PREVIOUS_TAB,Previous tab,Aba anterior,上一個標籤
NEXT_PANEL,Next panel,Próximo painel,下一個面板
PREVIOUS_PANEL,Previous panel,Painel anterior,上一個面板
HELP,Help,Ajuda,幫助
MODIFIER,Modifier,Modificador,修飾符
GREEN_FIELD,Green field,Campo verde,绿色的田野
SKELETAL_ARENA,Skeletal arena,Arena esquelética,骨骼競技場
FLYING_ASSAULT,Flying assault,Assalto voador,飛行突擊
DEFENSE_OF_THE_ANCIENT,Defense Of The Ancient,Defesa dos Anciões,古人的防禦
TREACHEROUS_TOMBS,Treacherous tombs,Tumbas traiçoeiras,奸詐的墳墓
DESERT,Desert,Deserto,沙漠
MAGE,Mage,Mago,法師
ROGUE,Rogue,Vampiro,流氓
KNIGHT,Knight,Cavaleiro,騎士
ARCHER,Archer,Arqueiro,阿切尔
DRUID,Druid,Druida,德魯伊
CAVEMAN,Caveman,Troglodita,穴居人
SCALE_FACTOR,Size,Tamanho,尺寸
DECK_NAME_REQUIRED,Set a deck name,Defina um nome ao deck,設置牌組名稱
DECK_CARDS_REQUIRED,Add at least one card to the deck,Adicione pelo menos uma carta ao deck,將至少一張牌添加到牌組
CONTROLLER_ULTIMATE_0,Dash / Ultimate #1,Arranque / Ultimate #1,破折號/終極#1
CONTROLLER_ULTIMATE_1,Ultimate #2,Ultimate #2,終極#2
KEYBOARD_ULTIMATE_0,Ultimate #1,Ultimate #1,終極#1
KEYBOARD_ULTIMATE_1,Ultimate #2,Ultimate #2,終極#2
ADD_REMOVE,Add / Remove,Adicionar / Remover,添加 / 移除
SELECT_CARD_DISCARD,Select a card to discard,Selecione uma carta para descartar,選擇要丟棄的卡
SELECT_CARD_LOCK,Select a card to lock,Selecione uma carta para travar,選擇要鎖定的卡
CAMERA_ZOOM,Camera zoom,Zoom da câmera,相機變焦
OBJECTIVES_COMPLETED,Objectives completed,Objetivos concluídos,目標完成
DAMAGE_PER_SKILL,Damage per skill,Dano por habilidade,每技能傷害
VICTORY,Victory,Vitória,勝利
DEFEAT,Defeat,Derrota,打敗
REROLL,Reroll,Reroll,重新滚动
DISCARD,Discard,Descartar,丟棄
LOCK,Lock,Trancar,要锁定
BANISH,Banish,Banir,放逐
UNLOCK,Unlock,Desbloquear,開鎖
UNLOCK_LEVEL,Complete level {level} objectives,Complete os objetivos do nível {level},完成 {level} 級目標
UNLOCKED_MAP_LEVEL,Level {level} map unlocked,Mapa nível {level} desbloqueado,{level} 级地图已解锁
UNLOCKED,Unlocked,Desbloqueado,已解锁
ACTIVATE_PORTAL,Activate portal,Ativar portal,激活門戶
INSTANTLY,Instantly,Imediatamente,即刻
ACTION,Action,Ação,行動
CHANNELING,Channeling,Canalizando,渠道
GAME,Game,Jogo,遊戲
SURVIVE_AS_LONG_AS_YOU_CAN,Survive as long as you can,Sobreviva o máximo que puder,只要你能生存
MODE,Mode,Modo,模式
ENDLESS,Endless,Interminável,無盡的
SWITCH_VERSION,Switch version,Trocar versão,套管針
SWITCH_VERSION_CONFIRM,"Old Version Deprecated.\nTo access the old version, please use the following link:\n[url=https://jefersonbelmiro.itch.io/endless-waves-survival-old-v024]play / download v0.2.4[/url]","Versão antiga descontinuada.\nPara usar a versão antiga, por favor, utilize o seguinte link:\n[url=https://jefersonbelmiro.itch.io/endless-waves-survival-old-v024]play / download v0.2.4[/url]","旧版本已弃用\n要使用旧版本，请使用以下链接: \n[url=https://jefersonbelmiro.itch.io/endless-waves-survival-old-v024]play / download v0.2.4[/url]"
SWITCH_VERSION_NEW,Current ({version}),Atual ({version}),當前 ({version})
SWITCH_VERSION_OLD,Old ({version}),Antiga ({version}),舊 ({version})
DELETE_DECK_CONFIRM,Are you sure you want to delete deck: {label}?,Tem certeza de que deseja deletar o deck: {label}?,您確定要刪除卡組：{label} 嗎？
NOT_ENOUGH_COINS,Not enough coins,Não há moedas suficientes,沒有足夠的硬幣
UNLOCK_NEXT_LEVEL,Unlock the next level,Desbloquear o próximo nível,解鎖一個新的水平
SCALE_FACTOR_DESC,Increases the size,Aumente o tamanho,增加尺寸
TOGGLE_VISIBILITY,Toggle visibility,Alternar visibilidade,切換可見性
UPGRADES_SIZE_HINT,Number of levels to apply,Número de níveis a serem aplicados,要應用的級別數
EXPLOSION,Explosion,Explosão,爆炸
UPGRADE_PASS_THROUGH_DESC,Goes through the enemies,Atravessa os enemigos,通過敵人
BONUS_COINS,Coin bonus,Bônus de moedas,硬幣獎金
UNTOUCHABLE,Untouchable,Intocável,不可觸及的
UNSTOPPABLE,Unstoppable,Imparável,勢不可擋
SUMMON,Summon,Invocar,传召
CARD_UPGRADE_EXPLOSION_DESC,Explodes when destroyed,Explode quando destruído,破壞時爆炸
HEALTH_HEALING,Health healing,Cura da saúde,健康療愈
CHEST_COLLECT_COINS,Collect {value} coins,Coletar {value} coins,收集 {value} 個硬幣
CHEST_COLLECT_EXPERIENCE,Collect {value} experience points,Coletar {value} pontos de experiência,收集 {value} 點經驗值
CHEST_COLLECT_CONSUMABLE,Collect {size} {label},Coletar {size} {label},收集 {size} 個 {label}
ROOM,Room,Sala,房间
ROOMS,Rooms,Salas,房间们
EARN_100_COINS_AD,Earn +100 coins\n(watching ad),Ganhe +100 moedas\n(assistindo ad),賺取 +100 個金幣\n（觀看廣告）
EARNED_100_COINS_AD,Earned +100 coins,Ganhou +100 moedas,獲得+100金幣
AIM_MODE,Aiming mode,Modo de mira,瞄準模式
AIM_MODE_HINT,Changes the behavior of cards with 'aim' tag,Altera o comportamento das cartas com tag 'aim',更改帶有'目標'標籤的卡片的行為
AIM_MODE_AUTO,Auto,Automático,自動的
AIM_MODE_CROSSHAIR,Crosshair,Mira,十字準線
AIM_MODE_DIRECTION,Steering,Direção,操舵
TRAITS,Traits,Características,特點
POLITE_PERIL_LABEL,Polite Peril,Risco Amigável,友好危險
POLITE_PERIL_ROW_1,Gain [color=green]+20%[/color] more experience,Ganha [color=green]+20%[/color] de 2xperiência,[color=green]+20%[/color] 經驗值
POLITE_PERIL_ROW_2,Enemies inflict [color=red]+10%[/color] more damage,Inimigos dao [color=red]+10%[/color] de dano,[color=red]+10%[/color] 敵人傷害
EXTENDED_HARVEST_LABEL,Extended harvest,Colheita estendida,擴大收穫
EXTENDED_HARVEST_ROW_1,Gain [color=green]+50%[/color] pick area,Ganha [color=green]+50%[/color] de área de coleta,收穫範圍增加 [color=green]+50%[/color]
EXTENDED_HARVEST_ROW_2,Enemies gain [color=red]+5%[/color] movement speed,Inimigos ganham [color=red]+5%[/color] de velocidade,敵人速度增加 [color=red]+5%[/color]
TREASURE_HUNTER_LABEL,Treasure Hunter,Caçador de tesouros,尋寶獵人
TREASURE_HUNTER_ROW_1,Gain [color=green]+50%[/color] loot from chests,Ganha [color=green]+50%[/color] saque em baús,宝箱战利品 [color=green]+50%[/color]
TREASURE_HUNTER_ROW_2,Enemies gain [color=red]+10%[/color] movement speed,Inimigos ganham [color=red]+10%[/color] de velocidade,敵人速度增加 [color=red]+10%[/color]
MAGNETIC_MAYHEM_LABEL,Magnetic Mayhem,Caos Magnético,磁力混亂
MAGNETIC_MAYHEM_ROW_1,Gain [color=green]+50%[/color] pick area,Ganha [color=green]+50%[/color] de área de coleta,收集範圍增加 [color=green]+50%[/color]
MAGNETIC_MAYHEM_ROW_2,Enemies spawn [color=red]+20%[/color] faster,Inimigos nascem [color=red]+20%[/color] mais rápido,敵人生成速度增加 [color=red]+20%[/color]
GLASS_CANNON_LABEL,Glass Cannon,Canhão de Vidro,玻璃加農炮
GLASS_CANNON_ROW_1,Gain [color=green]+10%[/color] base damage and [color=green]+10%[/color] attack speed,Ganha [color=green]+10%[/color] de dano base e [color=green]+10%[/color] de velocidade de ataque,基礎傷害增加 [color=green]+10%[/color] 且 攻擊速度 [color=green]+10%[/color]
GLASS_CANNON_ROW_2,Lose [color=red]-5%[/color] max health,Perde [color=red]-5%[/color] de vida máxima,最大生命值下降 [color=red]-5%[/color]
NATURES_PACT_LABEL,Nature's Pact,Pacto com a Natureza,自然契約
NATURES_PACT_ROW_1,Regenerate [color=green]+1[/color] HP per second,Regenera [color=green]+1[/color] de vida por segundo,每秒回復 [color=green]+1[/color] 生命值
NATURES_PACT_ROW_2,Enemies gain [color=red]+10%[/color] max HP,Inimigos ganham [color=red]+10%[/color] de vida máxima,敵人最大生命值增加 [color=red]+10%[/color]
SLOW_TIME_BUBBLE_LABEL,Slow Time Bubble,Bolha de Tempo Lento,時間緩慢氣泡
SLOW_TIME_BUBBLE_ROW_1,Reduce skill cooldown by [color=green]+5%[/color],Reduz recarga das habilidades em [color=green]+5%[/color],技能冷卻時間減少 [color=green]+5%[/color]
SLOW_TIME_BUBBLE_ROW_2,Enemies gain [color=red]+20%[/color] status resistance,Inimigos ganham [color=red]+20%[/color] de resistência a status,敵人狀態抗性增加 [color=red]+20%[/color]
BLOOD_BARGAIN_LABEL,Blood Bargain,Pacto de Sangue,血之契約
BLOOD_BARGAIN_ROW_1,Gain [color=green]+5%[/color] lifesteal,Ganha [color=green]+5%[/color] de roubo de vida,吸血 [color=green]+5%[/color]
BLOOD_BARGAIN_ROW_2,Enemies deal [color=red]+15%[/color] base damage,Inimigos causam [color=red]+15%[/color] de dano base,敵人基礎傷害增加 [color=red]+15%[/color]
RISKY_RICHES_LABEL,Risky Riches,Riqueza Arriscada,危險財富
RISKY_RICHES_ROW_1,Gain [color=green]+30%[/color] gold from all sources,Ganha [color=green]+30%[/color] de ouro de todas as fontes,獲得的金幣增加 [color=green]+30%[/color]
RISKY_RICHES_ROW_2,Enemies gain [color=red]+5%[/color] critical chance,Inimigos ganham [color=red]+5%[/color] de chance de crítico,敵人暴擊率增加 [color=red]+5%[/color]
BATTLE_SCHOLAR_LABEL,Battle Scholar,Estudioso de Batalha,戰鬥學者
BATTLE_SCHOLAR_ROW_1,Gain [color=green]+20%[/color] experience,Ganha [color=green]+20%[/color] de experiência,經驗獲得增加 [color=green]+20%[/color]
BATTLE_SCHOLAR_ROW_2,Lose [color=red]-5%[/color] movement speed,Perde [color=red]-5%[/color] de velocidade de movimento,移動速度降低 [color=red]-5%[/color]
SKILL,Skill,Habilidade,技能
WEAPON,Weapon,Arma,武器
PROJECTILE,Projectile,Projétil,彈
LEADERBOARD,Leaderboard,Leaderboard,排行榜
SCORE,Score,Pontuação,分數
NEW_HIGH_SCORE,New high score,Novo recorde,新高分
COMMUNITY,Community,Comunidade,社群
NOT_DEFINED,Not defined,Não definido,未定义
SCORE_DISPLAY_NAME,Score display name,Nome de exibição da pontuação,分數顯示名稱
LEADERBOARD_NOT_SENT_HINT,Score not sent. Set your name in settings to enable sending,Pontuação não enviada. Configure seu nome nas configurações para permitir o envio,分數未發送。請在設置中設定您的名稱以啟用發送
YOU,You,Você,你
CURRENT_TRAITS,Current traits,Características atuais,當前特性
UPDATING,updating,atualizando,更新中
LEADERBOARD_LOAD_ERROR,Error loading leaderboard,Erro ao carregar o leaderboard,加載排行榜錯誤
LEADERBOARD_UPDATE_NAME_ERROR,Error updating score display name,Erro ao atualizar nome de exibição da pontuação,更新顯示名稱錯誤
LEADERBOARD_UPDATE_NAME_ERROR_PROFANITY,Display names cannot contain profanity,Nomes não podem conter palavras de baixo calão,名稱不可包含粗話
LEADERBOARD_SEND_SCORE_ERROR,Error sending score,Erro ao enviar pontuação,發送分數錯誤
SCOREBOARD_INVALID_ENTRY,Unable to load entry details. The selected entry is invalid.,Não foi possível carregar os detalhes da entrada. A entrada selecionada é inválida.,无法加载条目详情。所选条目无效。
SCOREBOARD_ENTRY_NAME,Player,Jogador,玩家  
SCOREBOARD_ENTRY_RANK,Rank,Posição,排名 
________________OLD_KEYS___________________________,OLD_KEYS,OLD_KEYS,OLD_KEYS
ARMOR,Armor,Armadura,盔甲
PHYSICAL_DAMAGE_REDUCTION,Physical damage reduction,Redução de dano físico,物理傷害減免
MAGIC_DAMAGE_REDUCTION,Magic damage reduction,Redução de dano mágico,魔法傷害減免
ITEM_BRACER_OF_DAMAGE_DESC_OLD,{magic_damage} damage,{magic_damage} dano,{magic_damage} 伤害
ITEM_HELMET_OF_ARMOR_DESC,{armor} armor,{armor} armadura,{armor} 盔甲
MAGIC_RESISTANCE,Magic resistance,Resistência mágica,魔法抗性
WAVE_COMPLETED,Wave {wave_index} completed!,Onda {wave_index} concluída!,第 {wave_index} 波完成
WAVES_COMPLETED,Waves completed,Ondas concluídas,完成波
CONSUMABLE_POTION_OF_DAMAGE_DESC_OLD,Increase damage by {magic_damage} for {modifier_duration},Aumenta o dano em {magic_damage} por {modifier_duration},增加 {magic_damage} 伤害，持续 {modifier_duration}
CONSUMABLE_POTION_OF_DAMAGE_TOAST_USED_OLD,{magic_damage} damage,{magic_damage} de dano,{magic_damage} 伤害
SWITCHING_VERSION,Switching version...,Trocando de versão...,切換版本...
LOADING,Loading,Carregando,加載中
CONSUMABLE_UPGRADE_POINTS_LABEL,Upgrade points,Pontos de melhoria,升级积分
CONSUMABLE_UPGRADE_POINTS_DESC,Get 10 upgrade points,Obtenha 10 pontos de melhoria,獲得10個升級點
CONSUMABLE_UPGRADE_POINTS_TOAST_USED,+10 upgrade points,+10 pontos de melhoria,+10 升級點
CONSUMABLE_STATS_REFRESHER_ORB_LABEL,Stats refresher orb,Orbe de atualização de stats,统计更新球
CONSUMABLE_STATS_REFRESHER_ORB_DESC,"Reset all stats, recovering upgrade points","Redefina todos os stats, recuperando pontos de atualização","重置所有统计数据，恢复升级点"
CONSUMABLE_STATS_REFRESHER_ORB_TOAST_USED,Stats fefresher orb used,Orbe de atualização de stats usado,使用的统计刷新球
CONSUMABLE_ITEMS_REFRESHER_ORB_LABEL,Items refresher orb,Orbe de atualização de itens,物品刷新宝珠
CONSUMABLE_ITEMS_REFRESHER_ORB_DESC,"Reset all items, recovering coins","Redefina todos os itens, recuperando moedas","重置所有物品，回收硬币"
CONSUMABLE_ITEMS_REFRESHER_ORB_TOAST_USED,Items fefresher orb used,Orbe de atualização de itens usado,物品刷新球使用
CONSUMABLE_SPELLS_REFRESHER_ORB_LABEL,Spells refresher orb,Orbe de atualização de itens,物品刷新宝珠
CONSUMABLE_SPELLS_REFRESHER_ORB_DESC,"Reset all spells, recovering upgrade points","Redefina todos os feitiços, recuperando pontos de atualização","重置所有法术，恢复升级点"
CONSUMABLE_SPELLS_REFRESHER_ORB_TOAST_USED,Spell refresher orb used,Orbe de atualização de feitiços usado,使用的法术刷新球
